Wall time,Step,Value
1571055275.987803,1799,1.380100131034851
1571055276.152459,1809,1.1235723495483398
1571055276.3059704,1819,1.4904670715332031
1571055276.4026158,1829,1.3593846559524536
1571055276.534623,1839,1.326559066772461
1571055276.6752913,1849,1.362923264503479
1571055276.7693026,1859,1.2447965145111084
1571055276.9132233,1869,1.288387656211853
1571055277.0328095,1879,1.1005722284317017
1571055277.1881127,1889,1.2912973165512085
1571055277.33521,1899,1.1455514430999756
1571055277.3865764,1909,1.2563315629959106
1571055277.4413815,1919,1.2573803663253784
1571055277.49511,1929,1.519972801208496
1571055277.5632238,1939,1.1829676628112793
1571055277.6195095,1949,1.1221966743469238
1571055279.140981,1959,1.1828696727752686
1571055279.2653594,1969,1.3947848081588745
1571055279.3612306,1979,1.3535257577896118
1571055279.475682,1989,1.2267972230911255
1571055279.558157,1999,1.3101712465286255
1571055279.6462831,2009,1.3699421882629395
1571055279.7610538,2019,1.2770522832870483
1571055279.9417925,2029,1.180316686630249
1571055280.0957532,2039,1.361101746559143
1571055280.2667587,2049,1.2298438549041748
1571055280.372336,2059,1.1702098846435547
1571055280.5000834,2069,1.2557024955749512
1571055280.6111026,2079,1.231070876121521
1571055280.6937375,2089,1.093894124031067
1571055280.8316386,2099,1.218421459197998
1571055281.0297074,2109,1.3577911853790283
1571055281.098667,2119,1.2025878429412842
1571055281.2103171,2129,1.2769943475723267
1571055281.3198812,2139,1.263330101966858
1571055281.396388,2149,1.0917024612426758
1571055281.4601693,2159,1.2920608520507812
1571055281.53525,2169,1.1234650611877441
1571055281.6964471,2179,1.2796800136566162
1571055281.8320737,2189,1.378810167312622
1571055281.9416857,2199,1.3916895389556885
1571055282.0597625,2209,1.21706223487854
1571055282.1932867,2219,1.3840473890304565
1571055282.297581,2229,1.121058702468872
1571055282.4090948,2239,1.1974825859069824
1571055282.673664,2249,1.2835975885391235
1571055282.9175997,2259,1.1766128540039062
1571055283.1525085,2269,1.1900618076324463
1571055283.3919122,2279,1.2629474401474
1571055283.6413977,2289,1.2702831029891968
1571055283.9116144,2299,1.2688311338424683
1571055284.1517851,2309,1.2645639181137085
1571055284.36994,2319,1.320707082748413
1571055284.6148355,2329,1.273161768913269
1571055284.863526,2339,1.1898479461669922
1571055288.8982224,2349,1.197067141532898
1571055288.9995844,2359,1.220888614654541
1571055289.204095,2369,1.201962947845459
1571055289.4505615,2379,1.258484125137329
1571055289.5538058,2389,1.3454265594482422
1571055289.653026,2399,1.220746636390686
1571055289.7663536,2409,1.1678656339645386
1571055290.0242379,2419,1.2127695083618164
1571055290.3107603,2429,1.1373624801635742
1571055290.485103,2439,1.2037320137023926
1571055290.6706083,2449,1.2182111740112305
1571055290.9276183,2459,1.2352943420410156
1571055291.081759,2469,1.1481966972351074
1571055291.306761,2479,1.0364958047866821
1571055291.5045676,2489,1.1737667322158813
1571055291.682657,2499,1.1708941459655762
1571055291.8806262,2509,1.2706830501556396
1571055292.1097074,2519,1.1845765113830566
1571055292.297952,2529,1.191059947013855
1571055292.5062017,2539,1.2701531648635864
1571055292.6924102,2549,1.0933183431625366
1571055292.9317918,2559,1.12413489818573
1571055293.1619291,2569,1.4195600748062134
1571055293.3152966,2579,1.2327938079833984
1571055293.522557,2589,1.1052645444869995
1571055293.7127924,2599,1.2568185329437256
1571055293.896852,2609,1.2132004499435425
1571055294.0956209,2619,1.2635871171951294
1571055294.2831728,2629,1.214713215827942
1571055294.4887753,2639,1.129608154296875
1571055294.6610267,2649,1.1459568738937378
